Name,Schema,Type,Dataset,DataType,Path
tahoe_yellow_cress_surveys,SDE,Table,,Table,F:\GIS\DB_CONNECT\Tabular.sde\SDE.tahoe_yellow_cress_surveys
limebike_pilot_2017,SDE,Table,,Table,F:\GIS\DB_CONNECT\Tabular.sde\SDE.limebike_pilot_2017
secchi_measurements,SDE,Table,,Table,F:\GIS\DB_CONNECT\Tabular.sde\SDE.secchi_measurements
LandUseCode,SDE,Table,,Table,F:\GIS\DB_CONNECT\Tabular.sde\SDE.LandUseCode
LocalPlan_URL,SDE,Table,,Table,F:\GIS\DB_CONNECT\Tabular.sde\SDE.LocalPlan_URL
secchi_full_dataset,SDE,Table,,Table,F:\GIS\DB_CONNECT\Tabular.sde\SDE.secchi_full_dataset
secchi_summarized,SDE,Table,,Table,F:\GIS\DB_CONNECT\Tabular.sde\SDE.secchi_summarized
Tables_with_Descriptions,SDE,Table,,Table,F:\GIS\DB_CONNECT\Tabular.sde\SDE.Tables_with_Descriptions
Air_Quality,SDE,Table,,Table,F:\GIS\DB_CONNECT\Tabular.sde\SDE.Air_Quality
Congestion,SDE,Table,,Table,F:\GIS\DB_CONNECT\Tabular.sde\SDE.Congestion
Periphyton,SDE,Table,,Table,F:\GIS\DB_CONNECT\Tabular.sde\SDE.Periphyton
Scenic_Corridor,SDE,Table,,Table,F:\GIS\DB_CONNECT\Tabular.sde\SDE.Scenic_Corridor
Scenic_Viewpoint_OLD,SDE,Table,,Table,F:\GIS\DB_CONNECT\Tabular.sde\SDE.Scenic_Viewpoint_OLD
NRCS_2007_Soil_Survey,SDE,Table,,Table,F:\GIS\DB_CONNECT\Tabular.sde\SDE.NRCS_2007_Soil_Survey
Mooring_Permit_History,SDE,Table,,Table,F:\GIS\DB_CONNECT\Tabular.sde\SDE.Mooring_Permit_History
TBLFish_Habitat,SDE,Table,,Table,F:\GIS\DB_CONNECT\Tabular.sde\SDE.TBLFish_Habitat
bike_ped_counter_tabular,SDE,Table,,Table,F:\GIS\DB_CONNECT\Tabular.sde\SDE.bike_ped_counter_tabular
StateLands,SDE,Table,,Table,F:\GIS\DB_CONNECT\Tabular.sde\SDE.StateLands
ThresholdEvaluation_TahoeYellowCress,SDE,Table,,Table,F:\GIS\DB_CONNECT\Tabular.sde\SDE.ThresholdEvaluation_TahoeYellowCress
ThresholdEvaluation_Wildlife,SDE,Table,,Table,F:\GIS\DB_CONNECT\Tabular.sde\SDE.ThresholdEvaluation_Wildlife
ThresholdEvaluation_Waterfowl,SDE,Table,,Table,F:\GIS\DB_CONNECT\Tabular.sde\SDE.ThresholdEvaluation_Waterfowl
PermissibleUses,SDE,Table,,Table,F:\GIS\DB_CONNECT\Tabular.sde\SDE.PermissibleUses
ThresholdEvaluation_PlanAreaNoise,SDE,Table,,Table,F:\GIS\DB_CONNECT\Tabular.sde\SDE.ThresholdEvaluation_PlanAreaNoise
ThresholdEvaluation_ShoreNoise,SDE,Table,,Table,F:\GIS\DB_CONNECT\Tabular.sde\SDE.ThresholdEvaluation_ShoreNoise
ThresholdEvaluation_WinterTrafficVolume,SDE,Table,,Table,F:\GIS\DB_CONNECT\Tabular.sde\SDE.ThresholdEvaluation_WinterTrafficVolume
ThresholdEvaluation_NOX_Emissions,SDE,Table,,Table,F:\GIS\DB_CONNECT\Tabular.sde\SDE.ThresholdEvaluation_NOX_Emissions
ThresholdEvaluation_MidLake_DissolvedNitrogen,SDE,Table,,Table,F:\GIS\DB_CONNECT\Tabular.sde\SDE.ThresholdEvaluation_MidLake_DissolvedNitrogen
ThresholdEvaluation_Stream_CSCI_Index,SDE,Table,,Table,F:\GIS\DB_CONNECT\Tabular.sde\SDE.ThresholdEvaluation_Stream_CSCI_Index
ThresholdEvaluation_Stream_Status,SDE,Table,,Table,F:\GIS\DB_CONNECT\Tabular.sde\SDE.ThresholdEvaluation_Stream_Status
Validated_Owners,SDE,Table,,Table,F:\GIS\DB_CONNECT\Tabular.sde\SDE.Validated_Owners
ThresholdEvaluation_VEC_Historical,SDE,Table,,Table,F:\GIS\DB_CONNECT\Tabular.sde\SDE.ThresholdEvaluation_VEC_Historical
ThresholdEvaluation_LoadReduction_FineSediment,SDE,Table,,Table,F:\GIS\DB_CONNECT\Tabular.sde\SDE.ThresholdEvaluation_LoadReduction_FineSediment
ThresholdEvaluation_LoadReduction_Nitrogen,SDE,Table,,Table,F:\GIS\DB_CONNECT\Tabular.sde\SDE.ThresholdEvaluation_LoadReduction_Nitrogen
ThresholdEvaluation_LoadReduction_Phosphorous,SDE,Table,,Table,F:\GIS\DB_CONNECT\Tabular.sde\SDE.ThresholdEvaluation_LoadReduction_Phosphorous
ThresholdEvaluation_SuspendedSediment_Concentration,SDE,Table,,Table,F:\GIS\DB_CONNECT\Tabular.sde\SDE.ThresholdEvaluation_SuspendedSediment_Concentration
ThresholdEvaluation_TotalNitrogen_Concentration,SDE,Table,,Table,F:\GIS\DB_CONNECT\Tabular.sde\SDE.ThresholdEvaluation_TotalNitrogen_Concentration
ThresholdEvaluation_TotalPhosphorous_Concentration,SDE,Table,,Table,F:\GIS\DB_CONNECT\Tabular.sde\SDE.ThresholdEvaluation_TotalPhosphorous_Concentration
ThresholdEvaluation_Periphyton,SDE,Table,,Table,F:\GIS\DB_CONNECT\Tabular.sde\SDE.ThresholdEvaluation_Periphyton
ThresholdEvaluation_PrimaryProductivity,SDE,Table,,Table,F:\GIS\DB_CONNECT\Tabular.sde\SDE.ThresholdEvaluation_PrimaryProductivity
ThresholdEvaluation_ExistingDevelopmentRights_By_LandCapability,SDE,Table,,Table,F:\GIS\DB_CONNECT\Tabular.sde\SDE.ThresholdEvaluation_ExistingDevelopmentRights_By_LandCapability
ThresholdEvaluation_WatercraftInspections,SDE,Table,,Table,F:\GIS\DB_CONNECT\Tabular.sde\SDE.ThresholdEvaluation_WatercraftInspections
ThresholdEvaluation_CumulativeAccounting_UnitSummary,SDE,Table,,Table,F:\GIS\DB_CONNECT\Tabular.sde\SDE.ThresholdEvaluation_CumulativeAccounting_UnitSummary
ThresholdEvaluation_CumulativeAccounting_Allocations,SDE,Table,,Table,F:\GIS\DB_CONNECT\Tabular.sde\SDE.ThresholdEvaluation_CumulativeAccounting_Allocations
ThresholdEvaluation_CumulativeAccounting_Applications,SDE,Table,,Table,F:\GIS\DB_CONNECT\Tabular.sde\SDE.ThresholdEvaluation_CumulativeAccounting_Applications
ThresholdEvaluation_CumulativeAccounting_CodeCompliance,SDE,Table,,Table,F:\GIS\DB_CONNECT\Tabular.sde\SDE.ThresholdEvaluation_CumulativeAccounting_CodeCompliance
ThresholdEvaluation_CumulativeAccounting_PAOTAllocations,SDE,Table,,Table,F:\GIS\DB_CONNECT\Tabular.sde\SDE.ThresholdEvaluation_CumulativeAccounting_PAOTAllocations
ThresholdEvaluation_CumulativeAccounting_BankedDevelopment,SDE,Table,,Table,F:\GIS\DB_CONNECT\Tabular.sde\SDE.ThresholdEvaluation_CumulativeAccounting_BankedDevelopment
ThresholdEvaluation_CumulativeAccounting_CapitalExpenditures,SDE,Table,,Table,F:\GIS\DB_CONNECT\Tabular.sde\SDE.ThresholdEvaluation_CumulativeAccounting_CapitalExpenditures
ThresholdEvaluation_CumulativeAccounting_CFA_By_Area,SDE,Table,,Table,F:\GIS\DB_CONNECT\Tabular.sde\SDE.ThresholdEvaluation_CumulativeAccounting_CFA_By_Area
ThresholdEvaluation_CumulativeAccounting_CFA_By_Year,SDE,Table,,Table,F:\GIS\DB_CONNECT\Tabular.sde\SDE.ThresholdEvaluation_CumulativeAccounting_CFA_By_Year
ThresholdEvaluation_CumulativeAccounting_CFA_Allocations,SDE,Table,,Table,F:\GIS\DB_CONNECT\Tabular.sde\SDE.ThresholdEvaluation_CumulativeAccounting_CFA_Allocations
ThresholdEvaluation_CumulativeAccounting_CFA_Accounting,SDE,Table,,Table,F:\GIS\DB_CONNECT\Tabular.sde\SDE.ThresholdEvaluation_CumulativeAccounting_CFA_Accounting
ThresholdEvaluation_CumulativeAccounting_ProjectMitigation,SDE,Table,,Table,F:\GIS\DB_CONNECT\Tabular.sde\SDE.ThresholdEvaluation_CumulativeAccounting_ProjectMitigation
ThresholdEvaluation_CumulativeAccounting_RentalCarMitigationFee,SDE,Table,,Table,F:\GIS\DB_CONNECT\Tabular.sde\SDE.ThresholdEvaluation_CumulativeAccounting_RentalCarMitigationFee
ThresholdEvaluation_CumulativeAccounting_Recreation_PAOT,SDE,Table,,Table,F:\GIS\DB_CONNECT\Tabular.sde\SDE.ThresholdEvaluation_CumulativeAccounting_Recreation_PAOT
ThresholdEvaluation_CumulativeAccounting_TAU_By_Area,SDE,Table,,Table,F:\GIS\DB_CONNECT\Tabular.sde\SDE.ThresholdEvaluation_CumulativeAccounting_TAU_By_Area
ThresholdEvaluation_CumulativeAccounting_SewerCapacity,SDE,Table,,Table,F:\GIS\DB_CONNECT\Tabular.sde\SDE.ThresholdEvaluation_CumulativeAccounting_SewerCapacity
ThresholdEvaluation_CumulativeAccounting_TAU,SDE,Table,,Table,F:\GIS\DB_CONNECT\Tabular.sde\SDE.ThresholdEvaluation_CumulativeAccounting_TAU
ThresholdEvaluation_CumulativeAccounting_Trips,SDE,Table,,Table,F:\GIS\DB_CONNECT\Tabular.sde\SDE.ThresholdEvaluation_CumulativeAccounting_Trips
ThresholdEvaluation_CumulativeAccounting_ResidentialUnitSummary,SDE,Table,,Table,F:\GIS\DB_CONNECT\Tabular.sde\SDE.ThresholdEvaluation_CumulativeAccounting_ResidentialUnitSummary
ThresholdEvaluation_WaterQuality_AIS_Plants,SDE,Table,,Table,F:\GIS\DB_CONNECT\Tabular.sde\SDE.ThresholdEvaluation_WaterQuality_AIS_Plants
ThresholdEvaluation_SEZRestoration,SDE,Table,,Table,F:\GIS\DB_CONNECT\Tabular.sde\SDE.ThresholdEvaluation_SEZRestoration
ThresholdEvaluation_SoilConservation_ImperviousOverlayAnalysis_Change,SDE,Table,,Table,F:\GIS\DB_CONNECT\Tabular.sde\SDE.ThresholdEvaluation_SoilConservation_ImperviousOverlayAnalysis_Change
ThresholdEvaluation_SoilConservation_ImperviousOverlayAnalysis_2019,SDE,Table,,Table,F:\GIS\DB_CONNECT\Tabular.sde\SDE.ThresholdEvaluation_SoilConservation_ImperviousOverlayAnalysis_2019
ThresholdEvaluation_SoilConservation_ImperviousOverlayAnalysis_2010,SDE,Table,,Table,F:\GIS\DB_CONNECT\Tabular.sde\SDE.ThresholdEvaluation_SoilConservation_ImperviousOverlayAnalysis_2010
ThresholdEvaluation_SoilConservation_ImperviousOverlayAnalysis_2010_Original,SDE,Table,,Table,F:\GIS\DB_CONNECT\Tabular.sde\SDE.ThresholdEvaluation_SoilConservation_ImperviousOverlayAnalysis_2010_Original
ExistingDevelopment,SDE,Table,,Table,F:\GIS\DB_CONNECT\Tabular.sde\SDE.ExistingDevelopment
ThresholdEvaluation_Vegetation_FuelTreatment,SDE,Table,,Table,F:\GIS\DB_CONNECT\Tabular.sde\SDE.ThresholdEvaluation_Vegetation_FuelTreatment
Vegetation_EcObject_2010,SDE,Table,,Table,F:\GIS\DB_CONNECT\Tabular.sde\SDE.Vegetation_EcObject_2010
ThresholdEvaluation_CumulativeAccounting_NewCoverageByEvaluationPeriod,SDE,Table,,Table,F:\GIS\DB_CONNECT\Tabular.sde\SDE.ThresholdEvaluation_CumulativeAccounting_NewCoverageByEvaluationPeriod
ThresholdEvaluation_SEZEnhancedRestored,SDE,Table,,Table,F:\GIS\DB_CONNECT\Tabular.sde\SDE.ThresholdEvaluation_SEZEnhancedRestored
ThresholdEvaluation_AirQuality,SDE,Table,,Table,F:\GIS\DB_CONNECT\Tabular.sde\SDE.ThresholdEvaluation_AirQuality
ThresholdEvaluation_VMT,SDE,Table,,Table,F:\GIS\DB_CONNECT\Tabular.sde\SDE.ThresholdEvaluation_VMT
ThresholdEvaluation_VegetationTypeSummary,SDE,Table,,Table,F:\GIS\DB_CONNECT\Tabular.sde\SDE.ThresholdEvaluation_VegetationTypeSummary
ThresholdEvaluation_TotalPhosphorous_Concentration_DailyStats,SDE,Table,,Table,F:\GIS\DB_CONNECT\Tabular.sde\SDE.ThresholdEvaluation_TotalPhosphorous_Concentration_DailyStats
ThresholdEvaluation_TotalNitrogen_Concentration_DailyStats,SDE,Table,,Table,F:\GIS\DB_CONNECT\Tabular.sde\SDE.ThresholdEvaluation_TotalNitrogen_Concentration_DailyStats
ThresholdEvaluation_SuspendedSediment_Concentration_DailyStats,SDE,Table,,Table,F:\GIS\DB_CONNECT\Tabular.sde\SDE.ThresholdEvaluation_SuspendedSediment_Concentration_DailyStats
Parcel_Address,SDE,Table,,Table,F:\GIS\DB_CONNECT\Tabular.sde\SDE.Parcel_Address
Parcel_Owner,SDE,Table,,Table,F:\GIS\DB_CONNECT\Tabular.sde\SDE.Parcel_Owner
Parcel_Value,SDE,Table,,Table,F:\GIS\DB_CONNECT\Tabular.sde\SDE.Parcel_Value
TRPA_Permits_SampleReport,SDE,Table,,Table,F:\GIS\DB_CONNECT\Tabular.sde\SDE.TRPA_Permits_SampleReport
BlockGroup_2020_ACS5yr_B01001_Age,SDE,Table,,Table,F:\GIS\DB_CONNECT\Tabular.sde\SDE.BlockGroup_2020_ACS5yr_B01001_Age
BlockGroup_2020_ACS5yr_B03002_Race,SDE,Table,,Table,F:\GIS\DB_CONNECT\Tabular.sde\SDE.BlockGroup_2020_ACS5yr_B03002_Race
BlockGroup_2020_ACS5yr_B16004_Language,SDE,Table,,Table,F:\GIS\DB_CONNECT\Tabular.sde\SDE.BlockGroup_2020_ACS5yr_B16004_Language
BlockGroup_2020_ACS5yr_B17021_BelowPovertyLine,SDE,Table,,Table,F:\GIS\DB_CONNECT\Tabular.sde\SDE.BlockGroup_2020_ACS5yr_B17021_BelowPovertyLine
BlockGroup_2020_ACS5yr_B22010_HouseholdDisability,SDE,Table,,Table,F:\GIS\DB_CONNECT\Tabular.sde\SDE.BlockGroup_2020_ACS5yr_B22010_HouseholdDisability
BlockGroup_2020_ACS5yr_B23024_IndividualDisability,SDE,Table,,Table,F:\GIS\DB_CONNECT\Tabular.sde\SDE.BlockGroup_2020_ACS5yr_B23024_IndividualDisability
BlockGroup_2020_ACS5yr_B25044_ZeroVehicleHouseholds,SDE,Table,,Table,F:\GIS\DB_CONNECT\Tabular.sde\SDE.BlockGroup_2020_ACS5yr_B25044_ZeroVehicleHouseholds
Housing,SDE,Table,,Table,F:\GIS\DB_CONNECT\Tabular.sde\SDE.Housing
TravelDemandModel_TripsBaseYear2018,SDE,Table,,Table,F:\GIS\DB_CONNECT\Tabular.sde\SDE.TravelDemandModel_TripsBaseYear2018
GEN_TRAN_DETAIL,SDE,Table,,Table,F:\GIS\DB_CONNECT\Tabular.sde\SDE.GEN_TRAN_DETAIL
GENEALOGY,SDE,Table,,Table,F:\GIS\DB_CONNECT\Tabular.sde\SDE.GENEALOGY
VMT,SDE,Table,,Table,F:\GIS\DB_CONNECT\Tabular.sde\SDE.VMT
Parcel_APN_NewOld,SDE,Table,,Table,F:\GIS\DB_CONNECT\Tabular.sde\SDE.Parcel_APN_NewOld
water_use_statistics,SDE,Table,,Table,F:\GIS\DB_CONNECT\Tabular.sde\SDE.water_use_statistics
visitation_numbers,SDE,Table,,Table,F:\GIS\DB_CONNECT\Tabular.sde\SDE.visitation_numbers
School_Enrollment,SDE,Table,,Table,F:\GIS\DB_CONNECT\Tabular.sde\SDE.School_Enrollment
GHG_Emissions_Summary,SDE,Table,,Table,F:\GIS\DB_CONNECT\Tabular.sde\SDE.GHG_Emissions_Summary
ClimateResilienceDashboard_CensusData,SDE,Table,,Table,F:\GIS\DB_CONNECT\Tabular.sde\SDE.ClimateResilienceDashboard_CensusData
Accela_Record_Documents,SDE,Table,,Table,F:\GIS\DB_CONNECT\Tabular.sde\SDE.Accela_Record_Documents
ClimateResilience_ProbabilityHighSeverityFire_by_ForestManagmentZone,SDE,Table,,Table,F:\GIS\DB_CONNECT\Tabular.sde\SDE.ClimateResilience_ProbabilityHighSeverityFire_by_ForestManagmentZone
ClimateResilience_ProbabilityLowSeverityFire_by_ForestManagmentZone,SDE,Table,,Table,F:\GIS\DB_CONNECT\Tabular.sde\SDE.ClimateResilience_ProbabilityLowSeverityFire_by_ForestManagmentZone
Moorings_withLottery,SDE,Table,,Table,F:\GIS\DB_CONNECT\Tabular.sde\SDE.Moorings_withLottery
ClimateResilience_Transit_Monthly_Ridership_by_Route,SDE,Table,,Table,F:\GIS\DB_CONNECT\Tabular.sde\SDE.ClimateResilience_Transit_Monthly_Ridership_by_Route
ClimateResilience_LODES_OriginDestination,SDE,Table,,Table,F:\GIS\DB_CONNECT\Tabular.sde\SDE.ClimateResilience_LODES_OriginDestination
ClimateResilience_LODES_WorkLocations,SDE,Table,,Table,F:\GIS\DB_CONNECT\Tabular.sde\SDE.ClimateResilience_LODES_WorkLocations
ClimateResilience_TOT,SDE,Table,,Table,F:\GIS\DB_CONNECT\Tabular.sde\SDE.ClimateResilience_TOT
ClimateResilience_ModeShare,SDE,Table,,Table,F:\GIS\DB_CONNECT\Tabular.sde\SDE.ClimateResilience_ModeShare
ClimateResilience_Impervious_Identify_Areawide_ByYear,SDE,Table,,Table,F:\GIS\DB_CONNECT\Tabular.sde\SDE.ClimateResilience_Impervious_Identify_Areawide_ByYear
ClimateResilience_PurpleAir,SDE,Table,,Table,F:\GIS\DB_CONNECT\Tabular.sde\SDE.ClimateResilience_PurpleAir
ClimateResilience_EnergyMix,SDE,Table,,Table,F:\GIS\DB_CONNECT\Tabular.sde\SDE.ClimateResilience_EnergyMix
ClimateResilience_CentralSierraSnowLab_AllData,SDE,Table,,Table,F:\GIS\DB_CONNECT\Tabular.sde\SDE.ClimateResilience_CentralSierraSnowLab_AllData
ClimateResilience_COSTAR_LakeTahoe_MF_AllBeds,SDE,Table,,Table,F:\GIS\DB_CONNECT\Tabular.sde\SDE.ClimateResilience_COSTAR_LakeTahoe_MF_AllBeds
ClimateResilience_PropertyRadar,SDE,Table,,Table,F:\GIS\DB_CONNECT\Tabular.sde\SDE.ClimateResilience_PropertyRadar
Parcel_Researched_Retired,SDE,Table,,Table,F:\GIS\DB_CONNECT\Tabular.sde\SDE.Parcel_Researched_Retired
EffectivePopulationModel,SDE,Table,,Table,F:\GIS\DB_CONNECT\Tabular.sde\SDE.EffectivePopulationModel
ClimateResilience_DeedRestrictedHousingUnits,SDE,Table,,Table,F:\GIS\DB_CONNECT\Tabular.sde\SDE.ClimateResilience_DeedRestrictedHousingUnits
Campground_Visitation,SDE,Table,,Table,F:\GIS\DB_CONNECT\Tabular.sde\SDE.Campground_Visitation
Nearshore_NTU,SDE,Table,,Table,F:\GIS\DB_CONNECT\Tabular.sde\SDE.Nearshore_NTU
ThresholdEvaluation_Wildlife_Estimates,SDE,Table,,Table,F:\GIS\DB_CONNECT\Tabular.sde\SDE.ThresholdEvaluation_Wildlife_Estimates
ThresholdEvaluation_Vegetation_ID_Ecobejct2010_CaldorVegBurnSeverity,SDE,Table,,Table,F:\GIS\DB_CONNECT\Tabular.sde\SDE.ThresholdEvaluation_Vegetation_ID_Ecobejct2010_CaldorVegBurnSeverity
ThresholdEvaluation_CumulativeAccounting_DevelopmentTypeLandCapLandUseByJurisdiction,SDE,Table,,Table,F:\GIS\DB_CONNECT\Tabular.sde\SDE.ThresholdEvaluation_CumulativeAccounting_DevelopmentTypeLandCapLandUseByJurisdiction
Traffic_Counts_SMART,SDE,Table,,Table,F:\GIS\DB_CONNECT\Tabular.sde\SDE.Traffic_Counts_SMART
ThresholdEvaluation_Indicator_StatusTrendConfidence,SDE,Table,,Table,F:\GIS\DB_CONNECT\Tabular.sde\SDE.ThresholdEvaluation_Indicator_StatusTrendConfidence
Occupancy_Rates,SDE,Table,,Table,F:\GIS\DB_CONNECT\Tabular.sde\SDE.Occupancy_Rates
parcel_county_staging,SDE,Table,,Table,F:\GIS\DB_CONNECT\Tabular.sde\SDE.parcel_county_staging
Tahoe_Monthly_Visitation,SDE,Table,,Table,F:\GIS\DB_CONNECT\Tabular.sde\SDE.Tahoe_Monthly_Visitation
TEMP_TABLE,dbo,Table,,Table,F:\GIS\DB_CONNECT\Tabular.sde\dbo.TEMP_TABLE
Accela_Parcels,sde,Table,,Error,"""sde.SDE.Accela_Parcels"" does not exist"
SDE_compress_log,dbo,Table,,Table,F:\GIS\DB_CONNECT\Tabular.sde\dbo.SDE_compress_log
Accela_Record_Details,sde,Table,,Error,"""sde.SDE.Accela_Record_Details"" does not exist"
Accela_Parcels,dbo,Table,,Table,F:\GIS\DB_CONNECT\Tabular.sde\dbo.Accela_Parcels
Accela_Record_Details,dbo,Table,,Table,F:\GIS\DB_CONNECT\Tabular.sde\dbo.Accela_Record_Details
bike_ped_counter_tabular,sde,Table,,Error,"""sde.sde_tabular.SDE.bike_ped_counter_tabular"" does not exist"
Parcel_APN_NewOld,sde,Table,,Table,F:\GIS\DB_CONNECT\Tabular.sde\sde.SDE.Parcel_APN_NewOld
