State,Waterbody,Count,NAS Infested?,Manual Override?
CA,Tenaya Lake - Yosemite NP,1,FALSE,
CA,Pacific - San Pedro Bay,5,TRUE,
CA,Sacramento River - Ord bend,33,TRUE,
ID,Henrys Fork Snake River - Lower,1,FALSE,
ID,Snake River - Burley,2,TRUE,
CA,Petaluma - Black Point,1,FALSE,
CA,Stampede Reservoir,242,FALSE,
CA,None,2477,FALSE,
CA,Folsom Lake,1179,FALSE,
NV,Pyramid Lake,172,FALSE,
WA,Brand New,44,FALSE,
CA,UNKNOWN,85,FALSE,
NV,Topaz Lake,119,FALSE,
CA,Walker Lake,5,FALSE,
OR,Pacific Ocean,5,FALSE,
CA,Sacramento Delta,188,TRUE,
CA,Frenchman Lake,58,FALSE,
AB,Albright Lake,8,FALSE,
AB,Battle Lake,4,FALSE,
CA,Donner Lake,333,FALSE,
AB,Athabasca River,2,FALSE,
AB,Barrier Lake,6,FALSE,
AB,Big Lake,4,FALSE,
CA,Lake Tahoe,989,TRUE,
CA,Camanche Reservoir,60,FALSE,
FL,Atlantic Ocean,5,FALSE,
NV,Lake Tahoe,204,TRUE,Y
CA,Clear Lake,34,FALSE,
NV,Lahontan Reservoir,88,TRUE,
CA,Jenkinson Lake,69,FALSE,
CA,Davis Lake,2,FALSE,
TN,Lake chickamauga,1,FALSE,
CA,Lake topaz,60,FALSE,
CA,Monterey Bay (Pacific Ocean),31,FALSE,
CA,Discovery Bay,26,TRUE,Y
CA,Union Valley Reservoir,55,FALSE,
WA,Pacific Ocean,9,FALSE,
CA,Modesto Reservoir,20,FALSE,
CA,Mission Bay (Pacific Ocean),29,FALSE,
CA,Bridgeport Reservoir,9,FALSE,
AZ,Lake Powell,56,TRUE,
CA,Long Beach (Pacific Ocean),59,FALSE,
CA,San pedro lake,1,FALSE,
CA,Topaz Lake,49,FALSE,
CA,sky park reservoir,1,FALSE,
TX,Conroe Lake,1,FALSE,
CA,sacramento river,133,TRUE,
AZ,Lake Havasu,107,TRUE,
CA,Huntington Beach (Pacific Ocean),29,FALSE,
GA,State of Georgia,1,FALSE,
CA,Lake Elsinore,13,FALSE,
CA,San Francisco Bay (Pacific Ocean),212,FALSE,
CA,Lake almanor,43,FALSE,
CA,New Bullards Bar Reservoir,6,FALSE,
CA,Lake of the Pines,8,FALSE,
CA,Fallen Leaf Lake,33,FALSE,
CA,Bucks Lake,18,FALSE,
KS,State of Kansas,1,TRUE,Y
TX,Lake Louisville,1,TRUE,Y
CA,Lake Perris,43,TRUE,Y
CA,Whiskeytown Lake,19,FALSE,
CA,Colorado River,17,TRUE,
CA,Rollins Reservoir,30,FALSE,
ID,Coeur dAlene Lake,13,FALSE,
MO,Lake of the Ozarks,4,TRUE,
UT,Lake Powell,12,TRUE,Y
OR,Billy Chinook Lake,8,FALSE,
AB,40 Mile Lake,2,FALSE,
CA,Comanche Lake,26,FALSE,
SC,Lake Keowee,1,FALSE,
AZ,Lake Pleasant,34,TRUE,
FL,Fort Walton Beach (Gulf of Mexico),1,FALSE,
UT,Quail Creek Reservoir,2,FALSE,
CA,Caples Lake,38,FALSE,
ID,State of Idaho,8,FALSE,
CA,June lake,9,FALSE,
CA,Rawlins,4,FALSE,
OR,Willamtte River,10,FALSE,
CA,Cascade Lake,3,FALSE,
CA,Lake Orovill,59,FALSE,
CA,Camp Far West Reservoir,34,FALSE,
CA,Bullards Bar Reservoir,130,FALSE,
OR,Columbia River,23,TRUE,
CA,American River,11,TRUE,
CA,Lake Berryessa,391,FALSE,
CT,Atlantic Ocean,3,FALSE,
MI,UNKNOWN,12,FALSE,
CA,Almanor Lake,74,FALSE,
CA,Bodega Bay (Pacific Ocean),46,FALSE,
CA,Bass Lake,52,FALSE,
CA,Scotts Flat Reservoir,46,FALSE,
CA,San Joaquin delta,16,TRUE,
CA,Sly Creek reservoir,11,FALSE,
CA,Lake Wildwood,6,FALSE,
CA,Boca Reservoir,170,FALSE,
CA,Shasta Lake,115,TRUE,
CA,Don Pedro Reservoir,16,FALSE,
NV,State of Nevada,16,FALSE,
CA,Calero Reservoir,49,FALSE,
CA,Big Bear Lake,47,FALSE,
CA,Lake Sonoma,164,FALSE,
NV,Wild Horse Reservoir,6,FALSE,
CA,Echo Lakes,28,FALSE,
CA,pedaluma river,1,FALSE,
CA,Santa Margarita Lake,1,FALSE,
CA,Don Pedro Lake,118,FALSE,
CA,French Meadows Reservoir,12,FALSE,
NV,South Fork Reservoir,15,FALSE,
AB,Pyramid Lake,2,FALSE,
CO,Carter Lake,3,FALSE,
CA,Antelope Lake,6,FALSE,
TX,Corpus Christi Bay,1,FALSE,
CA,Englebright Lake,33,FALSE,
CA,California Delta,77,TRUE,Y
MN,Upper Prior Lake,1,TRUE,
AZ,Apache Lake,2,TRUE,
CA,Tamales Bay,9,FALSE,
CA,Marina del Ray (Pacific Ocean),10,FALSE,
TX,Lewisville Lake,2,TRUE,Y
MI,Gull Lake,1,TRUE,
CA,Combie Lake,4,FALSE,
CA,Lake Natoma,17,FALSE,
CA,Pyramid Lake,36,TRUE,
OK,State of Oklahoma,3,FALSE,
NM,Elephant Butte Reservoir,4,FALSE,
CA,tahoe,2,TRUE,
CA,Anderson Lake,1,FALSE,
CA,Shadow Cliffs Reservoir,1,FALSE,
CA,San Diego Bay (Pacific Ocean),55,FALSE,
MI,State of Michigan,1,TRUE,Y
CA,Ice House Reservoir,13,FALSE,
CO,Boulder Reservoir,1,FALSE,
CA,Lake Davis,13,FALSE,
AZ,Colorado River,25,TRUE,
CA,aquatic park,1,FALSE,
CA,Paradise Lake,1,FALSE,
ID,Bear Lake,6,FALSE,
CA,Convict Lake,8,FALSE,
CA,Santa Cruz Harbor (Pacific Ocean),32,FALSE,
CA,Lake Forest,1,TRUE,
CA,Stumpy Meadows,1,FALSE,
CA,Eagle Lake,13,FALSE,
AZ,Black Canyon Lake,1,FALSE,
OR,Lyte,1,FALSE,
CA,OCEAN half moon bay,27,FALSE,
CA,New Melones Lake,63,FALSE,
CA,Lake McClure,20,FALSE,
CA,Orville lake,52,FALSE,
CA,Lexington Reservoir,4,FALSE,
CA,Lake Tulloch,27,FALSE,
CA,does not work,1,FALSE,
AZ,Lake Mohave,15,TRUE,
AR,Colorado River,3,FALSE,
ID,Coral Creek Reservoir,2,FALSE,
OR,Wilamette River,3,FALSE,
MO,State of Missouri,1,FALSE,Y
UT,Jordanelle Reservoir,34,FALSE,
CA,Lake del Valle,12,FALSE,
AZ,Bartlett Lake,5,FALSE,
CA,Collins Lake,11,FALSE,
CA,Lake Don Pedro,1,FALSE,
CA,East Park Reservoir,3,FALSE,
CO,Boyd Lake,4,FALSE,
TX,Lake Austin,1,TRUE,
CT,Connecticut River,1,FALSE,Y
WA,Lake Washington,17,TRUE,
OR,Pine Hollow Reservoir,1,FALSE,
CA,Lake Oroville,21,FALSE,
CA,Yosemite Lake,9,FALSE,
TX,State of Texas,1,FALSE,Y
CA,Diamond Valley Lake,2,FALSE,
CO,Chatfield,6,TRUE,
AL,Cahaba River,1,FALSE,
AL,Lake Tuscaloosa,1,FALSE,
NV,Washoe Lake,23,FALSE,
AZ,Lake Mead,56,TRUE,
PA,State of Pennsylvania,1,FALSE,
CA,Silver Lake,14,FALSE,
CA,State of California,24,FALSE,
CA,Russian River,8,TRUE,
CA,Clementine Lake,7,FALSE,
AB,Jensen Reservoir,1,FALSE,
CA,Blue Lake,11,FALSE,
OK,Lake Texoma,1,TRUE,
KS,El Dorado Reservoir,1,FALSE,
CO,Lake Isabelle,1,FALSE,
NV,Boca Reservoir,51,FALSE,
NV,Rye Patch Reservoir,6,TRUE,
AB,Clear Lake,4,FALSE,
CA,New Hogan Lake,45,FALSE,
CA,Lake Nacimiento,80,FALSE,
LA,Lake Ponchartrain,1,FALSE,
WA,Puget Sound,2,FALSE,
CA,Woodward Reservoir,31,FALSE,
CA,Crowley lake,11,TRUE,
CA,Silverwood Lake,28,TRUE,
NV,Eagle Valley Reservoir,1,FALSE,
CA,Coyote Lake,35,FALSE,
TX,Waco Lake,1,FALSE,
AK,Pacific Ocean,14,FALSE,
ND,Neustel,1,FALSE,
CA,Shaver Lake,45,FALSE,
NV,Lake Mead,23,TRUE,
AZ,Lake Mead,56,TRUE,
CA,San Vicente Reservoir,32,TRUE,
CA,San Antonio Lake,7,FALSE,
CA,Lopez Lake,8,FALSE,
CA,jenkinson,70,FALSE,
CA,Millerton Lake,60,FALSE,
CA,Noyo Bay,1,FALSE,
AL,Gainsville Reservoir,1,FALSE,
AB,Bow Lake,1,FALSE,
CA,San Luis Reservoir,8,FALSE,
AZ,Saguaro Lake,10,TRUE,
CA,Perris,35,FALSE,Y
UT,Pineview Reservoir,16,FALSE,
UT,Gunnison Reservoir,1,FALSE,
CA,Truckee River,9,TRUE,
CO,Cherry Creek,4,FALSE,
TX,Lake Travis,1,TRUE,
NH,Lake Winnipesaukee,1,FALSE,
CO,Horsetooth Lake,4,FALSE,
CA,Twin Lakes,15,FALSE,
UT,Rockport Reservoir,4,FALSE,
UT,Echo Reservoir,4,FALSE,
WI,stump lake,1,FALSE,
CO,Horse Creek Reservoir,1,FALSE,
IA,Missouri River,1,TRUE,
CA,Castaic Lake,52,TRUE,
WY,Fontenelle Reservoir,1,FALSE,
MT,Yellowstone River,2,TRUE,
MO,Table Rock Lake,2,FALSE,
CA,San Juaquin River,9,FALSE,Y
CO,Colorado River,4,TRUE,
WA,American Lake,3,FALSE,
CA,Jackson Meadows Reservoir,8,FALSE,
CA,Success Lake,7,FALSE,
CA,Mokelumne River,6,TRUE,
FL,State of Florida,5,FALSE,
CA,Napa River,5,TRUE,
ID,Lake Lowell,4,FALSE,
IN,Lake Monroe,1,FALSE,
WA,Columbia River,8,TRUE,
UT,Sand Hollow Reservoir,11,TRUE,
OR,Lost Lake,2,FALSE,
CA,Trinity Lake,14,FALSE,
AZ,Roosevelt Lake,5,FALSE,
UT,Utah Lake,22,FALSE,
NJ,Atlantic Ocean,1,FALSE,
WA,Yale Lake,1,FALSE,
CO,Ridgway Reservoir,1,FALSE,
ID,Lucky Peak Lake,11,FALSE,
KS,Hillsdale Reservoir,1,FALSE,
CA,Lake Millerton,1,FALSE,
OR,Rogue River,1,TRUE,
CA,Pinecrest Lake,8,FALSE,
NM,Lake Conchas,1,FALSE,
FL,Silver Springs,2,FALSE,
CA,santa barbarw,1,FALSE,
CA,Slab creek,1,FALSE,
OR,Lake Owyhee,1,FALSE,
AZ,Parker Canyon Lake,5,FALSE,
CA,Lake Mendocino,12,FALSE,
OR,Klamath Lake,1,FALSE,
CA,Pine Flat Lake,14,FALSE,
CA,Yuba River,7,TRUE,
CA,Tomales Bay (Pacific Ocean),7,FALSE,
CA,Alpine Lake,3,FALSE,
ID,Lucky Peak Reservoir,9,FALSE,
NV,nevada irigation district,1,FALSE,
CO,Ruedi Reservoir,2,FALSE,
CA,Lake mojave,5,TRUE,Y
AZ,San Pedro River,1,FALSE,
MN,West Battle Lake,1,TRUE,
CA,Lake Hodges,2,FALSE,
ID,Payette River,1,FALSE,
ID,Salmon River,2,TRUE,
OR,Umpqua River,1,TRUE,
WA,Lacamas Lake,2,FALSE,
TN,State of Tennessee,4,FALSE,
UT,newcastle resevoir,1,FALSE,
CA,Prosser Creek Reservoir,5,FALSE,
AZ,State of Arizona,3,FALSE,
CA,Nacimiento Lake,8,TRUE,
MI,Lake Michigan,3,TRUE,
IA,State of Iowa,2,FALSE,
KY,Lake Cumberland,1,TRUE,
CA,Blue Lakes,1,FALSE,
CA,Buena Vista Lake,20,FALSE,
CA,Lake Piru,20,TRUE,
TX,Lake Houston,2,FALSE,
UT,Strawberry Reservoir,6,FALSE,
CA,Perris Lake,35,TRUE,Y
OR,Detroit Lake,1,FALSE,
OR,Odell Lake,5,FALSE,
ID,Solomon Lake,1,FALSE,
CA,Pine crest lake,5,FALSE,
CA,Martis Creek Reservoir,1,FALSE,
UT,pine view resevoir,1,FALSE,
CO,McPhee Reservoir,1,FALSE,
CA,Spring Lake,2,FALSE,
ID,Snake River,6,TRUE,
NV,Colorado River,3,TRUE,
MT,Hebgen Lake,5,FALSE,
CA,Lake Ming,2,FALSE,
CA,Indian Creek Reservoir,1,FALSE,
CA,Santa Cruz harbor,38,FALSE,
CA,Bear River Reservoir,5,FALSE,
AZ,Topock Bay,1,TRUE,Y
CA,Shasta River,2,TRUE,
CA,Newport Beach (Pacific Ocean),15,FALSE,
CA,Lake Mission Veijh,1,FALSE,
CA,Lake Tabeau,1,FALSE,
RI,Atlantic Ocean,2,FALSE,
ND,Missouri River,1,FALSE,
UT,Deer Creek Reservoir,18,TRUE,
WY,Glendo Reservoir,1,FALSE,
MT,Flathead Lake,7,FALSE,
CA,Cresent City Pacific Ocean,6,FALSE,
CA,Puddingstone Lake,2,FALSE,
CA,Ruth Lake,7,FALSE,
GA,Lake Oconee,3,FALSE,
UT,East Canyon Reservoir,6,FALSE,
CA,Loon Lake,3,FALSE,
CA,Lake Calero,18,FALSE,
UT,Flaming Gorge,5,TRUE,
UT,Willard Bay,12,FALSE,
CA,Lake Lopez,1,FALSE,
CA,Little Grass Valley reservoir,5,FALSE,
ID,Lake Pend Oreille,3,FALSE,
CO,Bear Lake,1,FALSE,
NV,dear creek,1,FALSE,
CA,icehouse reservoir,5,FALSE,
CA,Bear Resevoir,6,FALSE,
CA,Cachuma Lake,3,FALSE,
UT,Bear Lake,7,FALSE,
NM,Caballo Reservoir,1,FALSE,
OR,Coos Bay,1,TRUE,
UT,East Park Reservoir,1,FALSE,
OR,Lake Shasta,4,TRUE,Y
WA,Alder Lake,4,FALSE,
WA,Hood Canal,4,FALSE,
OR,HAGG LAKE,4,FALSE,
CA,Burney Falls Reservoir,1,FALSE,
WA,Riffe Lake,2,FALSE,
NC,Lake Jocassee,1,FALSE,
CA,Gold Lake,10,FALSE,
WA,Lake Stevens,3,FALSE,
UT,Mirror Lake,1,FALSE,
MD,Deep Creek Lake,2,FALSE,
CA,Irvine Lake,1,TRUE,
OR,East Lake,1,FALSE,
NV,Lake Mohave,2,TRUE,
OR,Simtustus Lake,1,FALSE,
CA,Klamath River,2,TRUE,
NV,Wilson Reservoir,1,FALSE,
NV,Truckee River,2,TRUE,
BC,Pacific Ocean,3,FALSE,
CA,Huntington Lake,6,FALSE,
OR,Lost Creek Lake,7,FALSE,
CA,Arrowhead Lake,9,FALSE,
CA,lake arrowhead,4,FALSE,
NV,Frenchman Lake,11,FALSE,
AZ,Lake Mojave,7,TRUE,Y
ID,Coeur dAlene River,1,FALSE,
AL,Gulf of Mexico,1,FALSE,
ND,Fresh Lake,1,FALSE,
BC,winter harbor,1,FALSE,
ID,Palisades Reservoir,1,FALSE,
NH,State of New Hampshire,1,FALSE,
WA,Lake Merwin,5,FALSE,
